thumbs               | THUPLS THUPLZ
wicked               | WEUBGD
comes                | KOPLS KOPLZ KWOPLZ KWOPLS
comes.               | KOPL/-PS KWOPL/-PS
do not               | TKPHOT
I have               | SREU
thing.               | THEUFPBLGT
where the            | W-RT
where the            | W-RT
healthy              | HOEUFLT
rational             | RALG RALGS RARBL
is a                 | SA*EU
is really            | SHRAOERL
making               | PHAEUG
indicated            | KA*EUTD KAEULTD
indicated            | KA*EUTD KAEULTD
indicated            | KA*EUTD KAEULTD
indicated            | KA*EUTD KAEULTD
{on^}                | AUPB AOPB
onco                 | AUPB/KO AUPB/KOE AUPB/KO* AOPB/KO*
{onco^}              | O*PBG OPBG/SKWRO* O*PBG/SKWRO
oncom                | O*PBG/PH*/SP-S OPBG/SKWRO*/PH*/SP-S O*PBG/SKWRO/PH*/SP-S
oncomp               | AUPB/KO*PL AOPB/KO*PL AUPB/KOFRP AOPB/KOFRP AOPB/KOPL/-P AUPB/KOPL/-P AOPB/KOPL/*P AUPB/KOPL/*P
oncomplicate         | AUPB/PHREUBGT AOPB/PHREUBGT AUPB/KPHREUBGT AOPB/KPHREUBGT AUPB/KPHRAEUBGT AOPB/KPHRAEUBGT AUPB/KOFRP/KAEUT AOPB/KOFRP/KAEUT AUPB/KPHREU/KAEUT AOPB/KPHREU/KAEUT AOPB/KPHAOEU/KAEUT AUPB/KHRAOEU/KAEUT AUPB/KPHAOEU/KAEUT AOPB/KHRAOEU/KAEUT AUPB/KPHRAOEU/KAEUT AOPB/KPHRAOEU/KAEUT AOPB/KOFRP/HREU/KAEUT AOPB/KOPL/PHREU/KAEUT AUPB/KOPL/PHREU/KAEUT AUPB/KOFRP/HREU/KAEUT
oncomplicated        | AOPB/PHREUBGD AUPB/PHREUBGD AUPB/PHREUBGTD AOPB/PHREUBGTD AUPB/KPHREUBGTD AOPB/KPHREUBGTD AUPB/KPHRAEUBGTD AOPB/KPHRAEUBGTD AUPB/PHREUPLT/-D AUPB/KPHRUBGT/-D AOPB/KPHRUBGT/-D AUPB/KPHEUBGT/-D AOPB/PHREUPLT/-D AUPB/KPHREUBG/-D AOPB/KPHREUBG/-D AOPB/KPHEUBGT/-D AUPB/KPHREUBGS/-D AOPB/KPHREUBGS/-D AUPB/KPHREUBGT/-D AOPB/KPHREUBGT/-D AUPB/KPHREUBLT/-D AOPB/KPHREUBLT/-D AUPB/TPHREUBGT/-D AOPB/TPHREUBGT/-D
complicated          | PHREUBGD PHREUBGTD KPHREUBGTD KPHRAEUBGTD
there is             | THR-LGS
is no                | STPHO
no such              | TPHOUFP TPHOEFP
decide               | TK-DZ STAOEUD STKAOEUD STKPWAOEUD
decided              | STKAOEUTD TK-DZ/-D STKAEUD/-D STAOEUD/-D STKAOEUD/-D STKRAOEUD/-D STKPWAOEUD/-D
as far               | STPA*R
as far as            | STPARZ STPARS TPA*RS STPA*RZ STPARBZ STPA*RS STPA*RGS STKPA*RS STPA*FRS STPA*RTS
I can                | AOEUBG
I can                | AOEUBG
do.                  | TKOFP TKOFPLT
but it               | TPWUT
if you               | TPU
you do               | TKO*U
at the               | TE
there is             | THR-LGS
striking             | STRAOEUG
at the               | TE
sometimes            | SAOEUPLS STAOEUPLS STAOEUPLZ STAOEUPLGS STPAOEUPLS
you think            | UPBG
think about          | THEUBT
isn't the            | STPH-T
actually             | TAOULT TWAEUL THAOULT THRAOUL THRAULT THRAOULT THRAOEULT TKHRAOULT TPHRAOULT THRAO*ULT TWHRAOULT
wonder               | WOPBD
is not               | S-PBLT STPHOT
that the             | THAT THA*T THA*ET
measured             | PH-RBD PH*ERBD PH*EFRBD
it.                  | T-FP T-FPLT
some people          | SPAOEPL
clouds               | KHROUDZ
clouds.              | KHROUD/-PS
clouds.              | KHROUD/-PS
disappear            | STKPAOER TEUS/PAOER TKEUS/PAOER TKEUS/PAOEUR TKEUS/SPAOER
it's a               | TAEUS
day.                 | TKAEUFP TKAEUFPLT
it's a               | TAEUS
day.                 | TKAEUFP TKAEUFPLT
despair              | STKPAEUR
disappear            | STKPAOER TEUS/PAOER TKEUS/PAOER TKEUS/PAOEUR TKEUS/SPAOER
it's a               | TAEUS
day.                 | TKAEUFP TKAEUFPLT
actually             | TAOULT TWAEUL THAOULT THRAOUL THRAULT THRAOULT THRAOEULT TKHRAOULT TPHRAOULT THRAO*ULT TWHRAOULT
managed              | PHAPBGD
invest               | SREF TPH*FS
credible             | KREUBL
incredible           | TPHEBL TPHREUBL TPHAOEBL TPHRAOEBL EUPB/KREBL EUPB/KREUBL
thermo               | THER/PHOE THERPL/STPO THERPL/KWRO THERPL/SKWRO
{thermo^}            | THOEURPL
thermos              | THER/PHOS THERPL/OS THER/PHOEZ THERPL/STPOZ THERPL/STPOS THERPL/SKWROZ THER/PHOE/-S THERPL/KWRO/-Z THERPL/KWRO/-S THERPL/SKWRO/-S THOEURPL/S*/SP-S
